,ID,Nama,DeskripsiObat
134,360,Cotrimoxazol 480,Antibiotik kombinasi untuk mengobati infeksi saluran kemih
135,361,FG Trhoches,Obat untuk mengobati infeksi mulut dan tenggorokan
136,362,Buscopan,Obat untuk mengurangi kejang otot polos saluran pencernaan
137,365,Sucralfat sirup,Obat untuk mengobati tukak lambung dan melindungi mukosa lambung
138,366,Laxadine sirup,Obat pencahar sirup untuk mengobati konstipasi
139,367,Eryra (Erythromycin) 500 mg,Antibiotik golongan makrolida untuk mengobati infeksi bakteri
140,368,Erlamycetin salep mata,Antibiotik salep mata untuk mengobati infeksi mata
141,369,Erlamycetin tetes telinga,Antibiotik tetes telinga untuk mengobati infeksi telinga
142,370,Scabimite,Obat untuk mengobati skabies (kudis)
143,372,Amlodipin 5 mg,Obat antihipertensi golongan calcium channel blocker dosis sedang
144,373,Cetirizine 10 mg,Obat antihistamin untuk mengobati alergi
145,375,Glimepiride 2 mg,Obat antidiabetes untuk mengontrol gula darah pada diabetes tipe 2
146,379,Acetylcysteine 200 mg,Obat mukolitik untuk mengencerkan dahak
148,381,Anastan (Asam Mefenamat) 500 mg,Obat antiinflamasi nonsteroid (NSAID) untuk mengurangi nyeri
151,387,Ambroxol sirup,Obat ekspektoran sirup untuk mengencerkan dahak
158,396,Glimepiride 3 mg,Obat antidiabetes untuk mengontrol gula darah dosis sedang
159,397,Glimepiride 4 mg,Obat antidiabetes untuk mengontrol gula darah dosis tinggi
161,399,Isoniazid 300,Obat antituberkulosis untuk mengobati tuberkulosis
163,401,Metronidazol 500 mg,Antibiotik untuk mengobati infeksi bakteri anaerob dan parasit
164,402,Rifampicin 450 mg,Obat antituberkulosis untuk mengobati tuberkulosis
165,403,Rifampicin 600 mg,Obat antituberkulosis untuk mengobati tuberkulosis dosis tinggi
166,404,Simvastatin 10 mg,Obat penurun kolesterol golongan statin dosis rendah
167,405,Tetracycline HCl 500 mg,Antibiotik golongan tetrasiklin untuk mengobati infeksi bakteri
169,407,Kalnex 500 mg,Obat untuk menghentikan perdarahan dan mengobati perdarahan berlebihan
172,410,Vitamin C 500 mg,Suplemen vitamin C dosis tinggi untuk meningkatkan daya tahan tubuh
173,412,Epexol Sirup 15 mg/5 ml,Obat sirup untuk mengobati batuk dan pilek
174,413,Pyfaton tablet,Obat untuk mengobati gangguan pencernaan
175,414,Hufabethamin,Suplemen vitamin B kompleks
176,415,Hufadextamine tablet,Obat antihistamin untuk mengobati alergi
177,416,Hufadine 150 mg,Obat untuk mengobati tukak lambung
178,417,Hufaflox 500 mg,Antibiotik golongan fluorokuinolon untuk mengobati infeksi bakteri
179,418,Fasidol 120 mg/5 ml sirup,Obat sirup pereda nyeri dan demam untuk anak
180,419,Fasidol forte 160 mg / 5 ml,Obat sirup pereda nyeri dan demam dosis tinggi untuk anak
181,420,Kaditic 50 mg,Obat antiinflamasi nonsteroid (NSAID) untuk mengurangi nyeri
182,421,Lerzin 10 mg,Obat antihistamin untuk mengobati alergi
183,422,Lerzin Sirup,Obat antihistamin sirup untuk mengobati alergi pada anak
184,423,Lostacef 125 mg sirup,Antibiotik sirup untuk mengobati infeksi bakteri pada anak
185,424,Lostacef 250 mg sirup,Antibiotik sirup untuk mengobati infeksi bakteri dosis tinggi pada anak
186,425,Milorin 300 mg,Obat untuk mengobati asam urat (gout)
187,426,Nystatin,Obat antijamur untuk mengobati infeksi jamur mulut dan kulit
188,427,Odanostin 4 mg,Obat untuk mencegah dan mengobati mual muntah
189,428,Solinfec 200 mg,Obat antijamur untuk mengobati infeksi jamur
190,429,Winatin 10 mg,Obat antihistamin untuk mengobati alergi
191,430,Yusimox forte 250 mg sirup,Antibiotik sirup untuk mengobati infeksi bakteri dosis tinggi pada anak
196,435,Ramipril 5 mg,Obat antihipertensi golongan ACE inhibitor dosis tinggi
198,437,Cefixime 200 mg,Antibiotik golongan sefalosporin untuk mengobati infeksi bakteri
199,438,Cetirizine,Obat antihistamin untuk mengobati alergi
202,441,Mecobalamine,Suplemen vitamin B12 untuk mengobati neuropati
205,445,Oseltamivir kapsul,Obat antiviral untuk mengobati influenza
206,446,Zinkid,Suplemen zinc untuk anak meningkatkan daya tahan tubuh
213,453,Clopidogrel,Obat antiplatelet untuk mencegah penggumpalan darah
215,455,Profat sirup,Suplemen penambah darah sirup untuk anak
216,456,Volten 50 mg,Obat antiinflamasi nonsteroid (NSAID) untuk mengurangi nyeri
217,458,Burnazine,Obat topikal untuk mengobati luka bakar
218,461,Rosidon (Domperidone) sirup,Obat sirup untuk mengobati mual muntah dan gangguan pencernaan
219,462,Aspar K,Suplemen kalium untuk menjaga keseimbangan elektrolit
220,463,Forumen,Obat untuk mengobati gangguan pencernaan
221,464,Hypofil 300 mg,Obat untuk mengobati asam urat (gout)
223,466,Zirkum kid tablet,Suplemen zinc untuk anak
224,468,Qom,Obat untuk mengobati gangguan pencernaan
225,469,Redoxone,Suplemen antioksidan untuk kesehatan
230,475,Gastrucid,Obat untuk mengobati gangguan pencernaan dan maag
231,476,Viter D 1000 iu,Suplemen vitamin D untuk kesehatan tulang
233,479,Vitamin B Complex,Suplemen vitamin B kompleks untuk kesehatan saraf
234,480,Daneuron,Obat untuk mengobati gangguan saraf
235,481,Koni-e 400 IU,Suplemen vitamin E untuk kesehatan kulit
239,485,Simucil 200 mg,Obat mukolitik untuk mengencerkan dahak
241,487,Levofloxacin,Antibiotik golongan fluorokuinolon untuk mengobati infeksi bakteri
247,494,Metformin 850 mg,Obat antidiabetes untuk mengontrol gula darah dosis tinggi
249,496,Trogyl (Metronidazole) sirup,Antibiotik sirup untuk mengobati infeksi bakteri anaerob dan parasit
250,497,Cetiripim (Cetirizine) 10 mg tablet,Obat antihistamin untuk mengobati alergi
251,498,Lameson (Methyl Prednisolone) 4 mg,Obat kortikosteroid untuk mengobati peradangan dan reaksi alergi
252,499,Flunarizin 10 mg,Obat untuk mengobati vertigo dan migrain
253,500,Mexon tablet,Obat untuk mengobati gangguan pencernaan
254,501,Medscab cr (Scabies),Obat topikal untuk mengobati skabies (kudis)
255,502,counterpain,Obat topikal untuk mengurangi nyeri otot dan sendi
258,508,Betamethasone krim,Obat kortikosteroid topikal untuk mengobati peradangan kulit
260,510,kendaron,Obat untuk mengobati gangguan irama jantung
263,514,Merislon (Betahistine) 6 mg,Obat untuk mengobati vertigo dan gangguan keseimbangan
264,515,Molex flu,Obat untuk mengobati gejala flu dan batuk
265,516,Neurobion Forte,Suplemen vitamin B kompleks untuk kesehatan saraf
267,519,Decivir,Obat antiviral untuk mengobati infeksi virus
268,520,Tremenza,Obat untuk mengobati gejala flu dan batuk
269,521,Zeviton,Suplemen untuk kesehatan
270,522,Asam Mefenamat 500 mg,Obat antiinflamasi nonsteroid (NSAID) untuk mengurangi nyeri dan demam
271,523,Lodia,Obat untuk mengobati diare
273,525,Sanmol Forte sirup 250 mg/5 ml,Obat sirup pereda nyeri dan demam dosis tinggi untuk anak
274,526,Prolon 4 mg,Obat untuk mencegah dan mengobati mual muntah
275,527,Grantusif,Obat untuk mengobati batuk
277,529,Sanmol sirup 120 mg/ 5 ml,Obat sirup pereda nyeri dan demam untuk anak
278,530,Eflagen 50 mg,Obat antiinflamasi nonsteroid (NSAID) untuk mengurangi nyeri
279,531,Episan Sirup,Obat sirup untuk mengobati batuk dan pilek
280,532,Flamar Gel,Obat topikal gel untuk mengurangi nyeri dan peradangan
281,533,Sanmol 500 mg,Obat analgesik untuk mengurangi nyeri dan demam
282,534,Lecozinc,Suplemen zinc untuk meningkatkan daya tahan tubuh
283,535,Neurosanbe,Suplemen vitamin B kompleks untuk kesehatan saraf
284,536,Mefinal 500 mg,Obat antiinflamasi nonsteroid (NSAID) untuk mengurangi nyeri
285,537,Silopect 30 mg,Obat ekspektoran untuk mengencerkan dahak
286,538,Betaver 6 mg,Obat untuk mengobati vertigo dan gangguan keseimbangan
287,539,Blocand 8 mg,Obat antihipertensi golongan ARB untuk menurunkan tekanan darah
288,540,Blocand 16 mg,Obat antihipertensi golongan ARB dosis tinggi untuk menurunkan tekanan darah
289,541,Vosedon 10 mg,Obat untuk mengobati mual muntah dan gangguan pencernaan
290,542,"Cortidex 0,5 mg",Obat kortikosteroid untuk mengobati peradangan dan reaksi alergi
291,543,Sanmol Drop 0.6 ml/60 mg,Obat tetes pereda nyeri dan demam untuk bayi
292,544,Kenalog In Orabase Salep,Obat topikal untuk mengobati sariawan dan luka di mulut
293,545,Nymiko Drop,Obat tetes untuk mengobati infeksi jamur
294,546,Sanprima 480 mg,Antibiotik kombinasi untuk mengobati infeksi saluran kemih
295,547,Sanprima Forte 960 mg,Antibiotik kombinasi dosis tinggi untuk mengobati infeksi saluran kemih
296,548,Anti Hemoroid SUPPOSITORIA,Obat suppositoria untuk mengobati wasir (hemoroid)
297,549,Probiokid,Probiotik untuk anak menjaga kesehatan saluran pencernaan
298,550,Plasminex 500 mg,Obat untuk menghentikan perdarahan
299,1542,Molagit,Antasida untuk mengatasi sakit maag dan gangguan pencernaan
300,1543,Lambucid,Antasida untuk meredakan gejala asam lambung berlebih
301,1544,RZ-20 sirup,Sirup antasida untuk mengatasi gangguan lambung pada anak
302,1545,Sirplus,Sirup multivitamin untuk meningkatkan daya tahan tubuh
303,1546,Sanmol Forte 650 mg,Paracetamol dosis tinggi untuk meredakan demam dan nyeri
304,2545,Omeprazole,Obat penghambat pompa proton untuk mengatasi tukak lambung
305,2546,Lactulax,Pencahar osmotik untuk mengatasi konstipasi
307,2548,Vesperum sirup,Sirup ekspektoran untuk meredakan batuk berdahak
309,2550,Lansoprazole 30 mg,Obat penghambat pompa proton untuk gangguan lambung
310,2551,Furosemide 40 mg,Diuretik untuk mengatasi pembengkakan dan hipertensi
311,2552,Formyco krim,Krim antijamur untuk mengatasi infeksi kulit
312,2553,Sanprima Sirup,Sirup antibiotik kombinasi untuk infeksi bakteri
313,2554,Gentoint salep mata,Salep mata antibiotik untuk mengatasi infeksi mata
314,2555,Alco plus DMP sirup,Sirup batuk dengan dekstrometorfan untuk batuk kering
315,2556,Silopect  15mg/5ml sirup,Sirup ekspektoran untuk mengatasi batuk berdahak
316,2557,Mecobalamin,Vitamin B12 untuk mengatasi neuropati dan anemia
320,2561,Gen Oint Salep Mata,Salep mata antibiotik untuk infeksi mata bakteri
321,2562,Folavit 400 mcg,Suplemen asam folat untuk ibu hamil dan anemia
322,2563,TB vit B6,Vitamin B6 untuk mengatasi defisiensi dan neuropati
323,2564,Analsik,Analgesik untuk meredakan nyeri dan demam
324,2565,Flutamol P,Paracetamol untuk meredakan demam dan nyeri ringan
325,2566,Genalten salep,Salep anti-inflamasi untuk mengatasi peradangan kulit
326,2567,Bufect 200 mg,Ibuprofen untuk meredakan nyeri dan peradangan
327,2568,Dulcolax,Pencahar stimulan untuk mengatasi konstipasi
330,2571,Vitamin B complex,Suplemen vitamin B kompleks untuk kesehatan saraf
332,2573,Vitamin B komplek,Suplemen vitamin B kompleks untuk metabolisme
333,2574,Pamol 125 mg supp,Suppositoria paracetamol untuk demam pada anak
334,2575,Pamol 250 mg supp,Suppositoria paracetamol dosis tinggi untuk demam
335,2576,Hepa Q,Hepatoprotektor untuk kesehatan hati
336,2577,Zine Sirup,Sirup zinc untuk meningkatkan daya tahan tubuh
337,2578,Neo Entrostop,Obat antidiare untuk mengatasi diare akut
338,2579,Amoxicillin Trihydrate 500 mg,Antibiotik penisilin untuk infeksi bakteri
339,3545,Acetin,Obat antihistamin untuk mengatasi alergi
340,3546,Ondansetron 8 mg,Antiemetik untuk mengatasi mual dan muntah
341,3547,Ondansetron 4 mg,Antiemetik dosis rendah untuk mual ringan
342,3548,dohixat (doxycycline),Antibiotik tetrasiklin untuk infeksi bakteri
345,3551,Pharolit,Larutan elektrolit untuk mengatasi dehidrasi
346,3552,Curcuma,Suplemen herbal kunyit untuk kesehatan lambung
348,3554,Clopidogrel 75mg,Antiplatelet untuk mencegah pembekuan darah
349,3555,Caviplex sirup,Sirup multivitamin untuk anak-anak
350,3556,Devit 1000iu,Vitamin D3 untuk kesehatan tulang
352,3558,Domperidon 10 mg,Prokinetik untuk mengatasi mual dan muntah
353,3559,Eyefresh Minidose,Obat tetes mata untuk mata kering
355,3561,BIOPLACENTON,Gel untuk mempercepat penyembuhan luka
358,3564,Antasida Sirup,Sirup antasida untuk mengatasi asam lambung
359,3565,Betametason,Kortikosteroid untuk mengatasi peradangan
361,3567,Faktu Ointment,Salep untuk mengatasi wasir dan peradangan anus
362,3568,Tantum Verde,Obat kumur antiseptik untuk radang tenggorokan
363,3569,FDC INTENSIF,Suplemen zat besi untuk anemia berat
364,3570,Hexavask,Obat untuk mengatasi gangguan pembuluh darah
365,3571,Epexol Tablet,Suplemen untuk kesehatan jantung
366,3572,Zinc tablet,Suplemen zinc untuk daya tahan tubuh
367,3573,Amlodipine 10 mg,Calcium channel blocker untuk hipertensi
369,3575,Hufarizine 10 mg,Antihistamin untuk mengatasi alergi
370,3576,"Hydrocortisone 2,5%",Kortikosteroid topikal untuk peradangan kulit
371,3577,D-vit 400 iu sirup,Sirup vitamin D untuk anak-anak
372,3578,Cefadroxil 500 mg,Antibiotik sefalosporin untuk infeksi bakteri
373,3579,Ketricin 4 Mg,Antihistamin untuk mengatasi alergi
374,3580,Devit 5000iu,Vitamin D3 dosis tinggi untuk defisiensi
375,3581,Prosinal Forte 200 mg Sirup,Sirup ibuprofen untuk nyeri dan demam
376,3582,Paratusin,Obat batuk ekspektoran untuk batuk berdahak
377,3583,Lostacef Kapsul 500 mg,Antibiotik sefalosporin untuk infeksi serius
378,3584,Permethrin 5%,Obat topikal untuk mengatasi skabies
379,3585,Acetylcysteine,Mukolitik untuk mengencerkan dahak
380,3586,Laxadilac sirup,Sirup pencahar untuk konstipasi pada anak
381,3587,Vitamin C 50 mg,Suplemen vitamin C untuk daya tahan tubuh
382,3588,Pantoprazole,Penghambat pompa proton untuk tukak lambung
383,3589,Fuson krim,Krim antijamur untuk infeksi kulit
384,3590,Relaxon,Muscle relaxant untuk mengatasi kejang otot
385,4584,Thrombo Aspilet,Aspirin dosis rendah untuk pencegahan stroke
386,4585,Gamesolone,Kortikosteroid untuk mengatasi peradangan
387,4586,Methylprednisolone 4 mg,Kortikosteroid untuk peradangan dan alergi
388,4587,FDC LANJUTAN,Suplemen zat besi untuk pemeliharaan
389,4588,Gasogal,Obat untuk mengatasi gangguan pencernaan
390,4589,"Bisoprolol 2,5 mg",Beta blocker untuk hipertensi dan jantung
391,4590,Flunarinzine 5 mg,Obat untuk mencegah migrain
392,4591,Mixalgin,Analgesik kombinasi untuk nyeri sedang
393,4592,L-Bio,Probiotik untuk kesehatan saluran pencernaan
394,4593,Azithromycin 500 Mg,Antibiotik makrolida untuk infeksi bakteri
395,4594,Paracetamol 500 mg,Analgesik antipiretik untuk demam dan nyeri
396,4595,Tablet Tambah Darah,Suplemen zat besi untuk anemia
397,4596,Etabion,Suplemen vitamin dan mineral
398,4597,Ermethason 0.5 mg,Kortikosteroid untuk peradangan ringan
399,4598,Ulfat Sirup,Sirup antasida untuk gangguan lambung
400,4599,Minyak Kayu Putih,Minyak esensial untuk mengatasi masuk angin
401,4600,Ascardia 80 mg,Obat untuk mengatasi gangguan jantung
402,4601,Galvusmet 50 mg/500 mg,Kombinasi obat diabetes tipe 2
403,4602,Dexamethasone 0.5 mg,Kortikosteroid untuk peradangan dan alergi
404,4603,Bionemi,Suplemen untuk mengatasi anemia
406,4605,Rifamtibi 600mg,Antibiotik untuk pengobatan tuberkulosis
407,4606,Scopma,Antispasmodik untuk mengatasi kram perut
408,4607,Pyradec,Antihistamin untuk mengatasi alergi
409,4608,Propranolol,Beta blocker untuk hipertensi dan jantung
410,4609,Nisagon Cream,Krim untuk mengatasi infeksi kulit
411,4610,Megazing,Suplemen zinc untuk daya tahan tubuh
413,4612,Farizol Tabet,Obat antiparasit untuk infeksi cacing
415,4614,Tuzalos,Obat untuk mengatasi gangguan saluran kemih
